cleaned_tweet,true_label,predicted_label,true_label_name,predicted_label_name
user user the rest of the world thinks you re a racist homophobic sex criminal,1,2,offensive_language,neither
zimmerman we comin for yo life bitch,0,1,hate_speech,offensive_language
the only good muzzie,1,0,offensive_language,hate_speech
muslims say they will make it legal to rape white women when they take over europe wir bekommen jetzt schon den vorgeschmack auf das was sie in sp testens number jahren wahr werden lassen in number jahren ist meine tochter number jahre hilfe rette sich wer kann islamization,0,2,hate_speech,neither
user this headline i have found myself in a shithole country blackface trudeau we can not vote for or impeach same as at all levels fiefdom of the corrupt who preach virtue yet percent of total govt spending on immigrants who pledge allegiance to a foreign dotard oh no,1,2,offensive_language,neither
kevin spacey comes right out with it confessed he preyed on a teenage actor tries to immediately deflect by coming out sure i may have preyed on teenage boys but hey at least i am openly gay now a homosexual through and through,0,2,hate_speech,neither
they could never make me hate you even though what you was doin wasn t tasteful even though you out here lookin so ungrateful i amma keep it movin be classy and graceful,2,1,neither,offensive_language
finally an emoji for faggots,1,0,offensive_language,hate_speech
user normalize hating white people,1,2,offensive_language,neither
i know how it feels to not have shit believe me i was born in the heart of la it don't get anymore ghetto than that,1,2,offensive_language,neither
them pearly whites tho years of cleaning,2,0,neither,hate_speech
you bitches are retarded learn your self worth stop trying to come for the female and correct your wack ass man,2,1,neither,offensive_language
yeah im a faggot and what are you disrespectful id rather be a faggot than a disrespectful child any day,2,0,neither,hate_speech
user a chr stian censored and a vsco girl pick a dis bility censored bitch,0,1,hate_speech,offensive_language
diversity means chasing down the last white person,1,2,offensive_language,neither
how is keeping schools open going to do more harm than good this is a fucking pisstake,1,2,offensive_language,neither
user fucking faggot,1,0,offensive_language,hate_speech
sorry middle east and country like syria problem is from islam kill the nonmuslim that includes people who live there that why it is not going to stop it western will not be there in those areas if there was no oil or care or even bring them to western,1,0,offensive_language,hate_speech
another voat gem i think we should start shaming the pro diversity people that do not live in the middle of a ghetto like they are advocating,0,2,hate_speech,neither
tfw you are actually retarded enough to believe the q larp or that anyone of any significance in government will actually be prosecuted by president zion sleepy jeff or their gop friends across the aisle,1,0,offensive_language,hate_speech
august alsina ghetto,1,2,offensive_language,neither
will you meet with the congressional black caucus ryan asked trump responded i would you want to set up the meeting are they friends of yours black activists complain that trump assumes nigger ryan knows nigger caucus members he did not assume he asked if they were her friends,1,0,offensive_language,hate_speech
user user ching chong number,0,2,hate_speech,neither
it a woman who claims to be the property of a bisexual nazi furfaggot who doxed and sexually abused an underaged boy,1,2,offensive_language,neither
several reasons much raghead money invested in our bought politicians and businesses wasps represent the single and last group that openly and vociferously opposes the globalist communist agenda we have a weakness whereby we want to see the good in anyone even after they have shown there is none,2,0,neither,hate_speech
user i hear the ghetto calling oops my bad that was your porch monkey momma,0,2,hate_speech,neither
saying my kids my bd is so ghetto this man violated,1,2,offensive_language,neither
ok u fat precious lookin ass bitch u big fat back at the barnyard lookin ass bitch i can fix my grammar but u still fat,0,1,hate_speech,offensive_language
why dykes always out here lookin for love you all some emo ass niggas,1,2,offensive_language,neither
danny chris and i should not be allowed out in public together #cunts,1,0,offensive_language,hate_speech
jammer just said to me he thought mustard on the beat ho was saying abdullah on the beat this whole time loooooool,1,2,offensive_language,neither
duterte said he would sort out brighton you gotta get the best to do the job do not care if you are chink paki nigga can you do the task,1,0,offensive_language,hate_speech
user user user you do not know israel but you can see it on youtube the police lawyers doctors congresswoman israeli are arabs jews blacks christians laics and gay the imam of its number mosquee have all a salary like rabins there is the gaypride bans the divorce with number talaq or children in war,2,0,neither,hate_speech
he just throwing that hoe up,2,1,neither,offensive_language
why do y'all niggas entertain that nicole bitch i don't see how y'all can ever take a bitch that posted naked pics serious,0,1,hate_speech,offensive_language
all the faggots if you hear me help me sing it ouut,1,0,offensive_language,hate_speech
building your life around hate is probably the most retarded approach to life normal people make the best of their options they do not fixate on irrelevant things if one spends most of their life thinking about other people who runs their life,2,0,neither,hate_speech
for fuck sake when is the western governments going to stop giving these retarded hostile muslims perpetual aid,0,1,hate_speech,offensive_language
does not know the difference between latino and spic but thinks it an authority also thinks it smart,1,0,offensive_language,hate_speech
why is a gay kike giving a speech about it being ok to be white i thought his granpappy was one of number trillion kikes gassed soaped and lampshaded in the holohoax nametheperfidiousjew,1,0,offensive_language,hate_speech
these are refugees and asylum seekers that are not welcome in europe,1,2,offensive_language,neither
he's texas trash bro,1,2,offensive_language,neither
my dear fellow moslems who live in europe you need to understand two facts number europe has never in history accepted your so called prophet and your religion islam number from the european perspective islam is just superstition of uneducated arabs and you will never change this attitude never,1,0,offensive_language,hate_speech
myself paul jayda fransen enjoying a bit of downtime from our stressfull dangerous lives well never surrender to islam we are christian soldiers ns we are the people,1,2,offensive_language,neither
you teabagger dunces want to eliminate education all together so you can groom more teabag voters lol #thedumbestteabagger,1,2,offensive_language,neither
i remember something to that effect gotta dig deeper for the pedo thing i may well have him mixed up with another yid with that name they are all demonic shapeshifters after all,2,0,neither,hate_speech
fag but tony,1,0,offensive_language,hate_speech
bitches be makin mistakes and hurting people they love i am bitches bitches is me,2,1,neither,offensive_language
i i haven't watched a single episode of #lhhny however i'm watching the reunion this coon shit i mean the levels of ratcheticity,2,0,neither,hate_speech
user you have just demonised every white person in the western world because this is happening world wide and you have just shown your ok with moslim pedos well done,0,2,hate_speech,neither
i m watching say yes to the dress and i must say people are really bitchy oml,1,2,offensive_language,neither
does your sand nigger half ever resent your shekel counter hook nosed bosses,1,0,offensive_language,hate_speech
concentrate on white genocide jews elites corrupt politicians etc and leave christianity alone,1,0,offensive_language,hate_speech
hate white bitches,1,0,offensive_language,hate_speech
ms martinez fuckin with the cripple kid,1,2,offensive_language,neither
technically she is a traitor to america she is trying to get passed sharia law which is in complete violation of our constitution she should now be either imprisoned and then deported to mussie world or just deported,1,0,offensive_language,hate_speech
he was voted in by christians too khan was put up for mayor number he got a london accent number he light skinned pr job and white liberals said yes give the paki a chance well done liberals hope your next to be robbed knifed shot,1,0,offensive_language,hate_speech
user grandparents are quite a drain on the budget kill all grandparents,0,2,hate_speech,neither
user cloud is a faggot,1,0,offensive_language,hate_speech
she did not dyke her haircut did she dat bod tho,1,2,offensive_language,neither
i m gay and a fag james date,1,0,offensive_language,hate_speech
niggas wear wigs more than bitches these days,0,1,hate_speech,offensive_language
worship the almighty foot faggot worship master oz86 skype,1,0,offensive_language,hate_speech
user im supposed to be worried about men instead thats that lgbtq bullshit why black women want all black men to be raging gay faggots no im interested in woman,1,2,offensive_language,neither
bruh he def wanted to call l rock a nigger in that last lmaoooooooooooooooooooooooooooo,1,0,offensive_language,hate_speech
musacchio suspended for being a retard blame giampaolo,2,1,neither,offensive_language
married homosexual women stephens and sprinkle have officiated at least number weddings to various nature entities in nine countries wnd slipperyslopeproof,1,2,offensive_language,neither
music number years later and this record still sounds fucking awfull fuck manchester manchester raped the globe with this pish,1,0,offensive_language,hate_speech
user the grammar nazis on this app would ve judged me to fuck and back uyabazi mara,1,2,offensive_language,neither
this is anecdotal but i used to have people drive past me screaming kill yourself you emo faggot when i walked down the streets does not happen so much any more though yeah northern ireland is like exceptionally garbage when it comes to progressiveness so lol,2,0,neither,hate_speech
keep drinking the david duke kool aid retarded degenerate enjoy the ride he taking you on,1,0,offensive_language,hate_speech
you are right in retarded from actually trying to engage in a civil discourse with someone who is named obamasucksanus,2,1,neither,offensive_language
they shot another monkey lmaooooooooooo,0,2,hate_speech,neither
i do not care if it one if a guy robs a bank do his kids get to keep the money of course not crime should not pay ever there are legal immigrants waiting in line go to the back like a decent person does,1,2,offensive_language,neither
since this time last year ten pakistani girls under the age of nine have been raped and murdered in the city of kasur what kind of men are those paki blokes if they can not even protect their wives,1,2,offensive_language,neither
it a crime to put illegal aliens before americans and i m f kng sick of it,1,2,offensive_language,neither
user so its not only old muzzy men who are pedophiles muzzy women can marry little children too,0,2,hate_speech,neither
chimmy ching chong great wall,1,0,offensive_language,hate_speech
flesh queers homos have more and higher spirits are tougher and more resilient than spirit queers xtians observed truth,2,0,neither,hate_speech
i am sure it was probably a niglet,1,0,offensive_language,hate_speech
curse avi for coke because he's a fag and hasn't put it on yet,0,1,hate_speech,offensive_language
i do not moozlim shitty hands on my food fuck tyson and starbucks,0,1,hate_speech,offensive_language
so ur faggot teammate hits someone late like that and u say he's yapping and yelling u guys def 69 in the room,0,1,hate_speech,offensive_language
jews have a tendency to out themselves knowingly or not especially to the erudite goyim listed above however they should absolutely wear the yellow star both as a badge of shame and as a warning to whites who are not as adroit at identifying kikenvermin from their words,0,2,hate_speech,neither
user guys i think stephen miller is a nazi just like other stephen miller is fuck off you white supremacist piece of shit,0,2,hate_speech,neither
i think donald j trump should offer a resettlement program to all eu nationals who are not happy with the current immigration policies of it leaders that way trump gets immigrants who are nearly perfectly aligned with usa values education and european expats can feel better at ease,1,2,offensive_language,neither
no just a niggress that thinks she's human,0,2,hate_speech,neither
did not obama expel russian diplomats as well the us is number trillion dollars in debt it cannot afford another war the jews are desperate their time is coming,1,0,offensive_language,hate_speech
go ahead call me a homophobe that a lie and anyone who does so should know it i lost friends and family connections to defend gay people right to marry you already call my a misogynist nazi what another false accusation go ahead faggot,1,2,offensive_language,neither
you know how in superhero stories the best insult for superheroes dumb mooks can come up with is do gooder #whiteknight,2,1,neither,offensive_language
i do not care what anyone does on here to make me look bad i am more interested in the truth than what some retard wants to say about me in case u have not noticed,1,2,offensive_language,neither
ok now im craving sushi bitch tf,2,1,neither,offensive_language
and having been humiliated by trump over the britain first rts provides a convenient opportunity to take a tougher stance even if just words on moslem terrorism,0,2,hate_speech,neither
user refs are retardos,1,2,offensive_language,neither
when a pussy nigga socks you and doesn't knock you out,0,1,hate_speech,offensive_language
no vanessa is a mudshark in islay alina is a wino living in manchester,1,0,offensive_language,hate_speech
user he only love this bcuz his son is gay f my son turns out to b gay great for him but u stl not gone b a queen not n my house,1,2,offensive_language,neither
user so true lefty snowflakes raise hell when someone will not bake a cake for a gay wedding but if you behead hang or throw gays off of buildings that perfectly fine mind boggling they betrayed gays for radical islam,1,2,offensive_language,neither
time saturday evening in a immigrant problem area in uppsala in sweden number car on fire police found the likely suspect but did not bring him in for questioning,1,2,offensive_language,neither
i couldn't find the regular one faggot,1,0,offensive_language,hate_speech
shoot that nigger bitch in the knees,1,0,offensive_language,hate_speech
user this is the non stop c oning censored that is displayed by black women these negresses give a horrible impression on the true b1 sisters who are for black empowerment she was a white sacrifice and she will probably get the lowest sentence tammy the mammy,2,0,neither,hate_speech
reading tweets from muslim twitter has made me islamophobic,0,2,hate_speech,neither
founded by jews to make kosher goys the masonic lodge exists to bring about israel i have one of their books in my possession,1,2,offensive_language,neither
yes it does at our offices we do not do business with muslim cockroaches,0,2,hate_speech,neither
it true i am fairly retarded at bird identification i have no egrets about it pic giant bird eats man after he sprays paint on it,1,2,offensive_language,neither
real women take critical consequences and use them to make improvements feminists whine,1,2,offensive_language,neither
brace yourself number somalian citizens have been convicted for raping number yr old swedish girl during the attack her vagina tore up and she started bleeding yet they raped her again they got number months youth care not even prison,2,0,neither,hate_speech
trump as king of israel is entirely appropriate an ethnostate ought to have a racist and nazi sympathiser as a monarch,1,2,offensive_language,neither
i think what this is chart is saying is that the easiest way to eliminate white people is to bring in unlimited numbers of african immigrants into their countries sounds awesome blackcrimematters,1,2,offensive_language,neither
when everybody in europe sees trump has put in a muslim ban every single one of them will ask why can not we do that,1,0,offensive_language,hate_speech
rich twerkin fuck with big ferrari this nigger,2,0,neither,hate_speech
kim kardashian look like a tranny with all that surgery,0,1,hate_speech,offensive_language
ask the governor how we are supposed to pay for this typical #teabagger mentality government is evil until we need them lol #morningjoe,2,0,neither,hate_speech
there no sympathy for immigrants because they re illegal but last time i checked everyone is illegal on stolen land,1,2,offensive_language,neither
user can i share your tweet with the uyghur muslim brothers in china or with brothers from the ahmeddiya community,1,2,offensive_language,neither
the jew programming is not silent on the matter though is it according to them white people keep money and jobs out of the hands of blacks who are forced to become dindus and chimp out with retard level violence if only we gave them reparations they would be superintelligent space explorers,1,0,offensive_language,hate_speech
don't you hate that dumb ass voice that everyone uses when they try to mock something you said,1,2,offensive_language,neither
you are still an insufferable snow nigger and indian americans earn more than you trailer trash red necks get fucked,1,0,offensive_language,hate_speech
yung nigger move that dope,1,0,offensive_language,hate_speech
he needs to sue obama for illegally passing legislation that exceeded his legislative power in other words daca was an illegal program he should sue the dems for failure to perform and pass legal legislation for immigrant children,1,2,offensive_language,neither
once you out a whistleblower you kill all whistleblowing dictators hate whistleblowers in some countries they still kill them there is no need for trump or anyone to interview him or her just examine the evidence donald is threatening him her donald a traitor,2,0,neither,hate_speech
ima bitch i will admit it,2,1,neither,offensive_language
pantera 5 minutes alone 5 minutes pussy boy i'll crush you,0,1,hate_speech,offensive_language
i want to jimmy kimmel to do one of those ate kids halloween candy videos but instead of halloween candy challenge suburban white parents to call number black kids that knock on their door niggers,0,2,hate_speech,neither
i do not take the opinion of anybody with a nigger name seriously that alone tells me that his her mother probably do not know the father was ghetto trash,1,0,offensive_language,hate_speech
here the deal teach you are gonna stop making me watch gay pbs and i am gonna call you a good lil white bitch got it,0,2,hate_speech,neither
good percentage of em are greasy pakis on dole now so no stress and income for life,0,2,hate_speech,neither
i can not watch the whole interview with the young lady will she be able to be to engage aggressive muslim men in civil conversation as she is being beaten dragged disrobed and raped by them,1,2,offensive_language,neither
heh i have to agree with libs for the wrong reasons i think africans and arabs all turning gay and dying of aids would be a net win,0,2,hate_speech,neither
your rhyming is ghetto,1,2,offensive_language,neither
fuck that niggah he so weak he cant tell that you a freak,0,1,hate_speech,offensive_language
that shit was not relevant at all white people lame,1,2,offensive_language,neither
eurocucks love to watch their wives get raped by migrants,0,2,hate_speech,neither
any truth to david shurter claims that he was once raped by antonin scalia that scalia had his throat slit by a number y o boy he was raping the night of his death was scalia involved in pedophilia too,2,0,neither,hate_speech
gayer then 2 faggots in bed together,0,1,hate_speech,offensive_language
i hate to break it to you baby boomers but most of you are either democrats or neocons you are just as bad as these liberal retard millenials that are mostly communists and socialists you know the millenials that you raised,1,0,offensive_language,hate_speech
washing my coon hair,0,2,hate_speech,neither
represents the majority vast majority there are a minority of jews that oppose the push for white genocide and call it out for what it is a threat to their own well being user,1,2,offensive_language,neither
so either the knock out game is being played on my campus or else local negroes are actually hard up enough to jump out of a car punch a white guy in the eye and steal a mcdonald bag from him before driving off,0,2,hate_speech,neither
everyone that says #letsmakeitawkward is a queer #justmadeitawkward,1,2,offensive_language,neither
user not all arabs if you are too stupid to realize that islam and its adherents are what you are describing i can not help ya,2,0,neither,hate_speech
user why are we asking this lesbian about politics,1,2,offensive_language,neither
mlk really was a fraud who plagiarized his phd constantly cheated on his wife while lecturing america on morals and routinely banged high school girls as a married reverend in his 3 0 also malcom x really was a gay prostitute,0,2,hate_speech,neither
ur ballsack is hairy gtfo tranny prude bitch,0,1,hate_speech,offensive_language
that wintrich or whatever faggot needs to go posobiec too,1,0,offensive_language,hate_speech
i like how his tattoo on his head forms a mullet white trash people can be so entertaining sometimes,1,2,offensive_language,neither
the french deserve to either end up as dhimmi moslem slaves or dead could there be anything more stupid apart from the politicians now running european countries france paris muslim islam islamofascism,2,0,neither,hate_speech
white trash bash,1,0,offensive_language,hate_speech
it started with dank memes until normies realized these memes are not just dank but true now they got some genuine kike hating nazis on there hands number number rahowa speakfreely gabfam,1,0,offensive_language,hate_speech
they put the hills on hulu you niggers will never hear from me again,2,0,neither,hate_speech
man most of you coons couldn't jus up in quit yo job if you found out ya boss racist so shut tha fucc up niggas love,0,1,hate_speech,offensive_language
user back to this ghetto ass single shit,1,2,offensive_language,neither
why are so many non jews celebrating when so many israeli jews support and back the influx of migrants into europe and north america it some sort of victory for jews but how is it a victory for non jews why would i give a rat ass,1,0,offensive_language,hate_speech
i used to used to talk all fuckin ghetto in high school my friends are fake for letting me,1,2,offensive_language,neither
go to sleep you fag,1,0,offensive_language,hate_speech
no i fucking do not so why was he panicking i hate you shitty hair you do not fucking hate me asshat the smirk disappeared into another face of anger his right arm pointing a sharp finger towards katsuki,2,0,neither,hate_speech
kim jong un dindunuffin,0,2,hate_speech,neither
this is how you know lhs is ghetto,1,2,offensive_language,neither
hollywood is out of ideas and is now running out of money so the jews are cannibalizing each other and weinstein is the first victim that my theory anyway,1,0,offensive_language,hate_speech
do the democrats feel white privilege or white racists are the problem these retards are retarted,1,2,offensive_language,neither
kim lip for the dykes,2,1,neither,offensive_language
just make sure you do not poke your eye out but if you do i will get you a white cane for your birthday,1,2,offensive_language,neither
fuck wits me no fuck wits fat whore wtf die slut aha,1,0,offensive_language,hate_speech
difference between niggers and niggas #tupac my og,1,0,offensive_language,hate_speech
same insanity from a homosexual man,2,1,neither,offensive_language
chopper hit bitches and niggas this bitch so confused,2,1,neither,offensive_language
are caucasians crazy just hand over countries even continents to muzzles to terrorists murderers rapists pedophiles homophobes sadists who pretend to be religious who hang gays stone adulterers lash women who have been raped,0,2,hate_speech,neither
fucking toxic weird ass retarded bitch,0,1,hate_speech,offensive_language
b c she likes black men and rap music huh lol in general she wants to be colored,2,1,neither,offensive_language
if we re being real tegan became one of the baddest bitches as soon as she popped up in her first scene on the show,2,1,neither,offensive_language
objectively east asians are an upgrade intelligence and the mixes are frequently stunning look at kristin kreuk dutch chinese and hybrid vigor is a thing,1,0,offensive_language,hate_speech
if only i dated a girl that lived off mack road i could just get the holy trinity of sacramento ghettos on a daily basis,2,1,neither,offensive_language
what is it with you lowiq idiots you can not speak the language so why do you even try to i do not even have the slightest clue what that ghetto language you wrote means in actual english please do not call yourself white it embarrassing,1,2,offensive_language,neither
snow nigger albino chimping out,1,0,offensive_language,hate_speech
ohh it capable of learning see your post do not look as retarded without your little emojis in them,1,0,offensive_language,hate_speech
you can always gets da colored folk back in da cage wit da kfc,0,1,hate_speech,offensive_language
there are just women and men male and female there is no gender spectrum the ones that claim they are such and such are just in need of help i e psychiatric the only ones i accept other than male and female are gay and even then some dabble in this,1,2,offensive_language,neither
i don't even play flappy bird anymore because fuck him,1,2,offensive_language,neither
i have better things to do like drive my yellow fucking lamborghini,1,2,offensive_language,neither
hate how impulsive my decisions are when things aren t going well like that bitch was not me idk her,2,1,neither,offensive_language
i'm getting spanked in fantasy he beating my by 100 because of this damn new england game julian eldman trash,1,2,offensive_language,neither
user fuck islam or any religion that restricts such basic entertainment,1,0,offensive_language,hate_speech
heyyyyyyyyyyy fag boy am i gonna watch you play,0,1,hate_speech,offensive_language
i went to school with marc almonds soft cell sister she was a hebe btw,1,2,offensive_language,neither
man fuck flappy bird,1,2,offensive_language,neither
you a hoe if you give your number to another nigga while you got a man,0,1,hate_speech,offensive_language
these bitches fuck who win that why i always win the streets took my dawg in turned me into a man,2,1,neither,offensive_language
hahaha made ya eat crow,2,1,neither,offensive_language
free ursula f the kike puppet europe should pay all their refugees to leave for uk,2,0,neither,hate_speech
only americans are degenerate enough to 'honor' their war dead by having a barbecue anyone who 'grills out' for memorial day is trash,2,0,neither,hate_speech
fite me niggers first login in number million years in sea server and gut a fu hua 5 weap hahahaha id number playing honkai impact number,0,2,hate_speech,neither
among immigrants hispanics have the highest rate of non marital births at number percent which means that number percent of births to hispanic immigrants are to a mother who was unmarried at the time of the child birth buildthemotherfuckingwall,0,2,hate_speech,neither
a group of xhosa men is called the hoes stop getting mad because we use the right terms,2,1,neither,offensive_language
when wale said nvm that nigga trash,1,2,offensive_language,neither
incompetent moslem cop does not understand he supposed to protect and serve,1,0,offensive_language,hate_speech
user does the camel jockey prince get to bring his bone saws,1,0,offensive_language,hate_speech
this looks like an arab slave market with newly abductded european women for sale,1,2,offensive_language,neither
y'all not gonna trash spirit airlines i travel w them all the time they even let me fly the plane 4 times they don't mi,2,1,neither,offensive_language
#bout2gocrazy #aintnolevelz2disshit hungrier then a phat ho on a diet ig,1,2,offensive_language,neither
also using the bible as a history book is fucking retarded since stories like noah and the flood is a rip off of the demiurge of sumerian lore and passover has no basis in reality,1,2,offensive_language,neither
trump should make it that you only need 5 x the paperwork to fire a niggerette as a white i managed to get a niggerette fired no it wasn t the one with a heplock in her leg that had already been thru the junky nurse program user user murse,0,2,hate_speech,neither
this is what the niggers dont like,1,0,offensive_language,hate_speech
blatt trash too but twitter said he was good,1,2,offensive_language,neither
user user you guys are the biggest faggots of the west,1,2,offensive_language,neither
cc rosemary lehmberg i'll show you how to chug a beer motherf ker #beerfest,1,2,offensive_language,neither
killin in tekken 6 lies you trash,1,2,offensive_language,neither
this girl comes into class with fried chicken and pulls hot sauce out of her purse i mean come on how ghetto stereotypi,0,1,hate_speech,offensive_language
if a dude seems flighty then he probably is so just nip it in the bud,1,2,offensive_language,neither
you know why cause karma is a bitch,2,1,neither,offensive_language
western women use vagina stereo speaker to blast unborn babies with feminist female empowerment musics of negress beyonce hag madonna breasticular katy perries slav expecting mothers enjoy cerebral classical music of tchaikovsky dvor k mussorgsky stravinsky free of vaginal intrusion,2,0,neither,hate_speech
lesson #nfl is 4 heterosexuals wat else do we need besides michael sam for us fags to get a clue breeders have their thing we have ours,1,0,offensive_language,hate_speech
i have got a plan let us kill all the zombies sound good,2,0,neither,hate_speech
jews are the only enemy in the history of the world that resort to crying its anti semitic to resist my actions boo hoo,0,1,hate_speech,offensive_language
good morning to everyone except politicians who favor the welfare of illegal immigrants over that of the american citizens they have sworn to protect maga,1,2,offensive_language,neither
dear b o b nigga fuck you too dont nobody gaf,2,0,neither,hate_speech
everyday somebody on here arguing my timeline so ghetto,2,1,neither,offensive_language
before covering up #irs misdeeds creepy little leprechaun john koskinen cooked the books for teamsters freddie mac,1,2,offensive_language,neither
good post however i do not think the term blame is technically not accurate enough or carries the correct nuance try something more like you will discover it is the fucking jews behind it every single time,1,0,offensive_language,hate_speech
now that women in saudi arabia can drive they have a fighting chance to escape the isiamist captors who enslave them maga tcot pjnet,1,2,offensive_language,neither
twice divorced teabagger florida attorney general says marriage is reserved for 'stable enduring family units' #wtf,0,2,hate_speech,neither
why muslims beat women,1,2,offensive_language,neither
you put the nigglet in a bag full of money and wait the father to stole the bag,0,2,hate_speech,neither
so many bitches in one sentence #fixitjesus,0,1,hate_speech,offensive_language
rudy gay a faggot for not changing his last name once he got money,0,2,hate_speech,neither
doing the moonwalk is the only way to look cool while wiping dog crap off your shoes frankiana 4 minimissuhurado,2,1,neither,offensive_language
who cares about who smokes or drink or being a gay or a lesbian why the fuck i should care about someone else life while mine is fucked up,2,1,neither,offensive_language
you might not but the reaction was the same everyone said that brand was trash yet all his sh,1,2,offensive_language,neither
btw i was kicked off twitter for accusing far left jews of supporting homosexual militancy jews are not in a conspiracy together they just assume murder me before you,1,0,offensive_language,hate_speech
fucking gay faggot look at that gay ass pink shirt haha,0,1,hate_speech,offensive_language
ahhahahahaahahahah the madman did it mccabe goose is cooked until some shitskin activist judge overturns it all but still,0,2,hate_speech,neither
user children future the rate they will join the young nazi movement stop being an idiot and read about the eu nazi origins,2,1,neither,offensive_language
no schwartze scum among the chosen that for you filthy white goyim to endure for us it survival for you it an obligation you must accept or we will call you names,2,0,neither,hate_speech
i hope he ends up being raped legally and then in prison raped for real,1,2,offensive_language,neither
the tsarnaev brothers remember them sorry you may know them by another title bostonbombers shocking they were also called refugees what are the odds that islamic muslim refugees commit terrorism on the people and country they are taught to hate gabfam maga americafirst islam,1,0,offensive_language,hate_speech
how are you going to mess with a bitch that looks up to me,2,1,neither,offensive_language
quan and dino them faggot ass niggas aight man,1,0,offensive_language,hate_speech
true freaks and geeks here freaks are scary geeks are questionable and scary lmfao your funny gay nazis whitesupreamist lmfao,1,2,offensive_language,neither
i fucking hate my skin dude it can be baby butt soft one time and then get a bunch of stupid little white head bumps the next i just asdjfkl,2,0,neither,hate_speech
i love louis ck quit bein a faggot and suck that dick,1,0,offensive_language,hate_speech
nigga who ever said white caste is good is smoking wild dick them thangs taste like hot shit,2,0,neither,hate_speech
i would bitch about the weather being bipolar but i'm just gonna appreciate how nice it is instead,2,1,neither,offensive_language
gentle reminder that game journalists are boot licking retards all of them,1,0,offensive_language,hate_speech
user user see a faggot,1,2,offensive_language,neither
fucking hate ghetto girls bruh,1,2,offensive_language,neither
